wafer_id,uniformity_percent
wf0001,1.4155225230027872
wf0002,1.3102356192982691
wf0003,1.3517015994133679
wf0004,1.3047700720874074
wf0005,0.9946030614360492
wf0006,1.345782179104025
wf0007,1.3339626676284388
wf0008,1.3650087778590392
wf0009,1.4284511806321305
wf0010,1.0795934405593013
wf0011,1.2727429956882397
wf0012,0.9370432377591053
wf0013,1.414352781758033
wf0014,1.7960414007110923
wf0015,5.6751318764207515
wf0016,1.2054712304521433
wf0017,1.180154739646524
wf0018,1.2193938554397015
wf0019,1.3967494237389886
wf0020,1.4285742126959589
wf0021,1.6326586757151322
wf0022,1.6483571077617425
wf0023,1.2712021905979654
wf0024,1.5622760629949077
wf0025,7.029747815443057
wf0026,1.654138375589293
wf0027,1.43544922794263
wf0028,1.8606627289405047
wf0029,5.269543019232634
wf0030,1.0228816352310774
wf0031,1.7963187209258853
wf0032,1.1543379499263602
wf0033,1.006665897852502
wf0034,1.516206818152027
wf0035,3.833462623043108
wf0036,1.6567847195925103
wf0037,1.8027383453326848
wf0038,1.6706655458164377
wf0039,0.9378338776397586
wf0040,1.035148602710078
wf0041,1.4881998344991314
wf0042,2.0895618626484076
wf0043,1.5563614583828211
wf0044,1.5241176321510197
wf0045,1.465831899600822
wf0046,1.8600340878398427
wf0047,4.9005801999572105
wf0048,1.3719262363641107
wf0049,1.8455398811850188
wf0050,5.168147323165343
wf0051,1.5927254453464672
wf0052,1.20066199441338
wf0053,1.1643174697584275
wf0054,1.7565431995739316
wf0055,1.271684703215343
wf0056,1.7464490777360369
wf0057,2.337310924038946
wf0058,1.5833724695128741
wf0059,1.1258009861289118
wf0060,1.6958475949391183
wf0061,1.3672167612261947
wf0062,1.1812089720094177
wf0063,2.1030577748284127
wf0064,1.4068201400763962
wf0065,1.640687730685462
wf0066,1.5009573777671228
wf0067,1.3685670292284895
wf0068,4.785332918801143
wf0069,1.0829812769139038
wf0070,1.5328553398644114
wf0071,1.9538350416081893
wf0072,1.7995236302020476
wf0073,1.8207036585838794
wf0074,1.6065567873308235
wf0075,3.915661379708202
wf0076,1.0447370518165104
wf0077,1.4699219704005164
wf0078,1.3479116177831565
wf0079,1.9001233519900231
wf0080,5.378602170879332
wf0081,1.9956829753906014
wf0082,1.8601662619436297
wf0083,1.3928349206885176
wf0084,1.4229161113464812
wf0085,2.045509001745129
wf0086,1.5157606994637154
wf0087,2.2289872657531897
wf0088,1.5220168780544976
wf0089,1.695639460803694
wf0090,1.946515614313902
wf0091,1.9850621600812544
wf0092,2.3086025586264287
wf0093,2.6319276934830516
wf0094,2.211707615752516
wf0095,1.3589501661699008
wf0096,1.7425615425736543
wf0097,1.7467599306502002
wf0098,1.9080619266039285
wf0099,2.0940276282097687
wf0100,1.6432893198387872
wf0101,1.4047529787829196
wf0102,1.7128979690222825
wf0103,2.0694463269482064
wf0104,1.3015876626573828
wf0105,1.6969506429087484
wf0106,1.3289502671059605
wf0107,2.360250361516801
wf0108,2.6933060245244356
wf0109,2.8090100958700446
wf0110,1.4436259584842104
wf0111,2.253086828800828
wf0112,1.815194140887208
wf0113,1.5952202090876082
wf0114,2.1416796653180037
wf0115,2.327895533983018
wf0116,2.542782251573897
wf0117,1.5750035633057995
wf0118,1.6812276284788705
wf0119,2.025202345486695
wf0120,1.4690389106918058
wf0121,1.359283250738348
wf0122,1.8433428567942467
wf0123,1.5694819223248322
wf0124,2.4655676530151154
wf0125,2.0201674933391662
wf0126,1.9772047975571887
wf0127,1.750878529562914
wf0128,2.0257752615437385
wf0129,1.6087519196446833
wf0130,1.8325477942913224
wf0131,7.180332815853304
wf0132,2.3479733377880523
wf0133,1.3564578576619604
wf0134,2.0402104059844968
wf0135,2.291829569839718
wf0136,1.4179494936813422
wf0137,1.861203577884025
wf0138,1.9201646133650918
wf0139,1.52440865947562
wf0140,1.5647285340465662
wf0141,2.3153283187328264
wf0142,1.980127727378293
wf0143,2.3520530476775705
wf0144,1.8327809324251694
wf0145,2.5816886065293922
wf0146,2.2111756453051616
wf0147,1.7885035266040967
wf0148,2.588998605289245
wf0149,2.40646671562981
wf0150,2.550370465528188
wf0151,1.3621184700922107
wf0152,1.5153443141394844
wf0153,2.2035808869011992
wf0154,1.5507297899048016
wf0155,1.5139999132867474
wf0156,2.411878014577726
wf0157,4.422754586329358
wf0158,5.641720715810924
wf0159,2.334131746111334
wf0160,1.9151315240737687
wf0161,1.858821374887099
wf0162,1.9963195214354792
wf0163,2.2610825695322054
wf0164,2.02136610534038
wf0165,1.2886838255916724
wf0166,2.505692705263976
wf0167,2.1554954893400513
wf0168,2.4262771448474423
wf0169,2.159511430660933
wf0170,1.493046743754257
wf0171,1.721847630827949
wf0172,1.3015478861264707
wf0173,1.8848927071357386
wf0174,1.387998811065522
wf0175,2.386878856273579
wf0176,2.3288469612751315
wf0177,3.030760295585282
wf0178,2.756943167764258
wf0179,2.3126788582604276
wf0180,2.6626118279736213
wf0181,1.7801526349023038
wf0182,1.5338689453940895
wf0183,1.9562166038062285
wf0184,3.4412745476631006
wf0185,1.7252869872042678
wf0186,2.275028560864741
wf0187,2.0471497742867006
wf0188,1.876075651680608
wf0189,2.3841164646355812
wf0190,2.6043146335276233
wf0191,2.7509918076557804
wf0192,6.758695601681288
wf0193,2.1692545949989093
wf0194,2.1677474614194048
wf0195,2.765097599438002
wf0196,1.9814283368243215
wf0197,2.793979223390979
wf0198,2.5218429502542716
wf0199,5.945680504588746
wf0200,1.961744765546044
wf0201,2.1342797986736186
wf0202,6.920088523630946
wf0203,3.0772687389018367
wf0204,2.600916152249574
