subgroup,xbar,s
1,101.11242814808398,1.8665935401982976
2,99.61852811645731,1.7222908337820295
3,98.69861516973185,1.760883152126993
4,98.80428466705135,2.143783656724794
5,99.61274421385342,1.391280521928603
6,98.89243737363256,2.6633690917453476
7,100.15964206002846,1.9453489981653944
8,100.92915462327963,1.5268877463180817
9,99.71946651087741,1.4098492026482807
10,101.21709117758529,1.7461689291978586
11,100.7528859748385,0.5413787216301856
12,99.58352170975053,1.1984769317432034
13,100.75230714880028,1.9604276904053188
14,99.252253306361,2.0358686297694457
15,98.84516654077706,1.9419800755352965
16,100.70654657261143,2.7328776356937663
17,98.89181207449944,1.797899121829466
18,99.95306095009414,2.127345784402625
19,100.3415388271933,3.4233186440395467
20,100.18085771686944,2.0155064100234443
21,100.93930262811553,4.401037115234838
22,100.46144345694498,3.6277281935400882
23,100.19938384826136,4.540133794665742
24,100.2479148759853,3.0758257619841296
25,97.53386224373705,4.580130832069996
26,99.15130670349807,2.200923070531325
27,99.2673842168121,2.6916458939821153
28,100.16867222960892,2.866591038570294
29,102.6251247713803,5.808776665604145
30,97.7689919080199,2.0380164509379948
31,100.03713936893561,6.181682576816034
32,98.43582131052278,1.6615305909463527
33,100.09214561747115,0.9506122870728493
34,101.04773667049673,3.6771132496035595
35,99.42436649232206,5.814638918420222
36,101.21847731505962,3.992088886258387
37,99.46652579182998,4.54627788638719
38,103.13383570414933,4.443436389228636
39,100.66910609426148,3.1483410791033246
40,99.66273096962934,4.015586973467817
