subgroup,s,widened
1,1.7446273979455216,False
2,2.0803945099480234,False
3,1.5981618244110265,False
4,0.9514458903823181,False
5,1.7741924672010758,False
6,1.2015844130075355,False
7,1.3659375754133978,False
8,1.4712691320929931,False
9,1.8613676060397146,False
10,1.771456720682496,False
11,0.7407661983226834,False
12,2.2995310271295275,False
13,0.9743842450716842,False
14,1.2720366606713265,False
15,1.1158944212749928,False
16,2.501230092739104,False
17,2.4607056805988035,False
18,2.509018711415711,False
19,3.1326135456773887,False
20,0.9229935956045019,False
21,1.8076898321856316,True
22,4.237179923676592,True
23,4.083208809050139,True
24,6.738574492778999,True
25,2.1813252605841957,True
26,2.507325514302559,True
27,5.068182526289268,True
28,2.174906256372478,True
29,1.0042702596491846,True
30,3.4325920897208704,True
31,3.127085014531459,True
32,4.974842558516089,True
33,0.5799067068048841,True
34,2.824971085541375,True
35,1.958119179376276,True
36,1.4883455001505237,True
37,3.6874327083186405,True
38,1.6463442046901648,True
39,4.171015482119169,True
40,5.673669005056722,True
