design,x1,x2,x3,y
ccd,-1.0,-1.0,-1.0,67.31799808594134
ccd,-1.0,-1.0,1.0,72.08150147455021
ccd,-1.0,1.0,-1.0,69.47523339974273
ccd,-1.0,1.0,1.0,72.25757653905178
ccd,1.0,-1.0,-1.0,71.5438853880216
ccd,1.0,-1.0,1.0,79.83798953715946
ccd,1.0,1.0,-1.0,69.02695322010085
ccd,1.0,1.0,1.0,75.89598737649953
ccd,1.681792830507429,0.0,0.0,75.21167422396798
ccd,-1.681792830507429,0.0,0.0,68.8569129481603
ccd,0.0,1.681792830507429,0.0,73.47124776430363
ccd,0.0,-1.681792830507429,0.0,75.51950801704699
ccd,0.0,0.0,1.681792830507429,75.69943971103673
ccd,0.0,0.0,-1.681792830507429,65.00730984139922
ccd,0.0,0.0,0.0,78.14655162638984
ccd,0.0,0.0,0.0,77.27769373988069
ccd,0.0,0.0,0.0,78.19988954524342
ccd,0.0,0.0,0.0,78.05388442125854
ccd,0.0,0.0,0.0,77.74379095902681
ccd,0.0,0.0,0.0,77.70130747399112
correlated,0.6556476386562355,0.734942632556389,0.8960640054417423,77.73762425530296
correlated,-0.2546014830547519,-0.05331947032043404,-0.2709939177532048,76.6678487085809
correlated,0.8335414754043637,0.8758810097651205,0.8911302045101854,77.12327031713167
correlated,-1.1227595523329974,-1.0019523211330001,-1.135082679568539,65.03952474864815
correlated,-0.22024717202632157,-0.2205311004672342,-0.012979242872598721,76.58399283716744
correlated,0.8610859384925711,0.8604489418241364,0.7742135654725343,77.0463005032021
correlated,1.2309180601599685,1.142071430028946,0.9728476998381347,73.5608919770656
correlated,1.4201390002109844,1.7838520857946285,1.5711599928907294,66.88701193365314
correlated,0.29984902841992844,-0.2546584279246194,-0.39898011459162913,76.81127278287546
correlated,0.7294049422739147,0.7386049486370766,0.7604909664436866,78.17505635061957
correlated,-1.5250254967361767,-1.767992382622322,-1.1053686181742057,58.02008618914256
correlated,-0.1881993527587592,0.013723115890763036,0.28225572881685423,78.26590255127805
correlated,-0.4459798611327262,-0.5723968027483898,-1.0332655051399697,70.00539540673014
correlated,-0.7344139312739427,-0.8535050507699827,-0.8042557731828919,69.94878107668642
correlated,-0.11885136552998393,-0.5509260537976225,-0.42823684210770235,76.16355604848121
correlated,0.38845646244747273,0.3511942733815211,0.17138335464035884,78.56763468806959
correlated,1.3037088494477054,0.9547227163041876,1.3085880008414068,73.76813797758572
correlated,2.7135637256941383,2.2534061895126904,2.620431602771081,45.53383603114124
correlated,-0.7796737205600699,-0.8576556551398604,-0.6813826012524737,70.72966140449834
correlated,0.3735942153827532,0.571045560095981,0.3950159598194005,78.71408295485124
