x_mm,y_mm,r_mm,centre_thick_A,edge_thick_A
0.0,0.0,0.0,1065.5714285714287,934.4285714285713
37.5,0.0,37.5,1058.0714285714284,941.9285714285714
18.750000000000004,32.47595264191645,37.5,1058.0714285714284,941.9285714285714
-18.749999999999993,32.47595264191645,37.5,1058.0714285714284,941.9285714285714
-37.5,4.592425496802574e-15,37.5,1058.0714285714284,941.9285714285714
-18.750000000000018,-32.475952641916436,37.5,1058.0714285714284,941.9285714285714
18.749999999999975,-32.475952641916464,37.5,1058.0714285714284,941.9285714285714
75.0,0.0,75.0,1035.5714285714287,964.4285714285714
53.033008588991066,53.03300858899106,75.0,1035.5714285714287,964.4285714285714
4.592425496802574e-15,75.0,75.0,1035.5714285714287,964.4285714285714
-53.03300858899106,53.033008588991066,75.0,1035.5714285714287,964.4285714285714
-75.0,9.184850993605149e-15,75.0,1035.5714285714287,964.4285714285714
-53.03300858899107,-53.03300858899106,75.0,1035.5714285714287,964.4285714285714
-1.3777276490407723e-14,-75.0,75.0,1035.5714285714287,964.4285714285714
53.03300858899105,-53.03300858899107,75.0,1035.5714285714287,964.4285714285714
105.0,0.0,105.0,1006.7714285714286,993.2285714285715
84.94678440936949,61.71745149070968,105.0,1006.7714285714286,993.2285714285715
32.446784409369485,99.86093421099112,105.0,1006.7714285714286,993.2285714285715
-32.44678440936947,99.86093421099113,105.0,1006.7714285714286,993.2285714285715
-84.94678440936947,61.71745149070969,105.0,1006.7714285714286,993.2285714285715
-105.0,1.2858791391047208e-14,105.0,1006.7714285714286,993.2285714285715
-84.9467844093695,-61.71745149070967,105.00000000000001,1006.7714285714286,993.2285714285715
-32.44678440936949,-99.86093421099112,105.0,1006.7714285714286,993.2285714285715
32.44678440936946,-99.86093421099113,105.0,1006.7714285714286,993.2285714285715
84.94678440936947,-61.717451490709706,105.00000000000001,1006.7714285714286,993.2285714285715
127.5,0.0,127.5,978.8714285714286,1021.1285714285714
110.41823898251593,63.74999999999999,127.5,978.8714285714286,1021.1285714285714
63.750000000000014,110.41823898251592,127.5,978.8714285714286,1021.1285714285714
7.807123344564377e-15,127.5,127.5,978.8714285714286,1021.1285714285714
-63.74999999999997,110.41823898251593,127.49999999999999,978.8714285714286,1021.1285714285714
-110.4182389825159,63.75000000000004,127.5,978.8714285714286,1021.1285714285714
-127.5,1.5614246689128753e-14,127.5,978.8714285714286,1021.1285714285714
-110.41823898251594,-63.749999999999964,127.5,978.8714285714286,1021.1285714285714
-63.75000000000006,-110.41823898251589,127.5,978.8714285714286,1021.1285714285714
-2.342137003369313e-14,-127.5,127.5,978.8714285714286,1021.1285714285714
63.749999999999915,-110.41823898251597,127.5,978.8714285714286,1021.1285714285714
110.41823898251589,-63.75000000000006,127.5,978.8714285714286,1021.1285714285714
142.5,0.0,142.5,957.2714285714286,1042.7285714285715
123.40862003928251,71.24999999999999,142.5,957.2714285714286,1042.7285714285715
71.25000000000001,123.4086200392825,142.5,957.2714285714286,1042.7285714285715
8.725608443924892e-15,142.5,142.5,957.2714285714286,1042.7285714285715
-71.24999999999997,123.40862003928251,142.5,957.2714285714286,1042.7285714285715
-123.40862003928248,71.25000000000004,142.5,957.2714285714286,1042.7285714285715
-142.5,1.7451216887849784e-14,142.5,957.2714285714286,1042.7285714285715
-123.40862003928252,-71.24999999999996,142.5,957.2714285714286,1042.7285714285715
-71.25000000000006,-123.40862003928247,142.5,957.2714285714286,1042.7285714285715
-2.6176825331774673e-14,-142.5,142.5,957.2714285714286,1042.7285714285715
71.2499999999999,-123.40862003928257,142.5,957.2714285714286,1042.7285714285715
123.40862003928247,-71.25000000000006,142.5,957.2714285714286,1042.7285714285715
