sample,stationary,mean_shift,spread_growth,random_walk
0,0.042740959066480205,0.042740959066480205,0.017096383626592083,0.03419276725318417
1,1.3853921157498499,1.3853921157498499,0.6844138287202896,1.3939403075631458
2,2.055956348035842,2.055956348035842,0.6205389772134065,2.6186613861490784
3,0.7232667320338376,0.7232667320338376,-0.26026512847851824,2.108354309361411
4,0.13599052811385548,0.13599052811385548,-0.1529643149669991,1.810384798254964
5,-0.4457898761651119,-0.4457898761651119,-0.2724965070848833,1.2830006052215386
6,0.30225243187289297,0.30225243187289297,0.29627672852030984,1.8527269627934988
7,0.12528702007811818,0.12528702007811818,-0.029342573690819895,1.7966625237478813
8,0.8220578283034148,0.8220578283034148,0.3933930082286137,2.5435481400044253
9,-1.3540901019920606,-1.3540901019920606,-0.9791746638969612,0.6962233410303158
10,0.7540947135042843,0.7540947135042843,0.835579855620195,2.2627721157298364
11,0.35602466794695,0.35602466794695,-0.051757828864828055,2.166339955574216
12,0.8939932540423161,0.8939932540423161,0.36744979905540276,2.8467184088483624
13,0.3998296184485619,0.3998296184485619,-0.07421092105084713,2.7101520748715346
14,-0.13920079600571617,-0.13920079600571617,-0.20727008466947322,2.3310535077966814
15,0.3795896809941571,0.3795896809941571,0.25474924417012496,2.794163666394268
16,1.0522673361266073,1.0522673361266073,0.45630423101207424,3.618677193924381
17,0.4288305309825128,0.4288305309825128,-0.11276078777339914,3.4161473232309296
18,0.10451214001931056,0.10451214001931056,-0.08557556412404194,3.2633611446607325
19,0.7484058948208443,0.7484058948208443,0.38634938422057524,3.9490597554699907
20,-0.4212971050546646,-0.4212971050546646,-0.49328989639576726,3.0787191135228196
21,-1.7671617667641943,-1.7671617667641943,-0.8633755701573815,1.564335609791424
22,-0.6653151973089866,-0.6653151973089866,0.22650462413099093,1.9593174725409541
23,-1.0697549420732715,-1.0697549420732715,-0.3867787847815732,1.2887516488530748
24,-2.5621935553619917,-2.5621935553619917,-1.1140540151352503,-0.6315889412649538
25,-2.3513697971625547,-2.3513697971625547,-0.47497788906327737,-1.4456426052103133
26,-1.8784194371902798,-1.8784194371902798,-0.2743915558444083,-1.9132401641030603
27,-2.320254139746429,-2.320254139746429,-0.7041687408552659,-3.1064426415353212
28,-2.8846163679108914,-2.8846163679108914,-0.8857611198404148,-4.598906525598355
29,-1.6941319938017296,-1.6941319938017296,0.021866482692433756,-4.562268698653551
30,-0.1192299395532902,-0.1192299395532902,0.5384993452314278,-3.665019441925803
31,-0.30467004169243095,-0.30467004169243095,-0.14069657125660293,-3.8981515198862597
32,-0.9263980545243033,-0.9263980545243033,-0.4512473401109601,-4.641747549395104
33,-0.17084502396667373,-0.17084502396667373,0.2349169233678806,-4.256753740647196
34,0.6147287928143796,0.6147287928143796,0.4400403324606612,-3.539517933452812
35,0.0688266772001504,0.0688266772001504,-0.18506496851668178,-3.8395285319412893
