t,true_state,observation,filtered,smoothed
1,0.01257302210933933,-0.6509621761947076,-0.650961451040597,-0.15502378173681836
2,-0.0006374642197908582,-0.614055312833819,-0.6324670321134372,-0.15279563084221082
3,0.06340480082453735,-1.5417445960605762,-0.9378195233157712,-0.14849513279839704
4,0.07389481253984133,0.803244216557698,-0.4957550265654441,-0.1379350445825922
5,0.02032787522373023,0.8264672337387522,-0.2242517339552666,-0.13160348586452802
6,0.05648738071467871,-0.41988936668648325,-0.2581828431019984,-0.12957634657646278
7,0.18688738522769244,0.35022733076899104,-0.1662799932737713,-0.12624488916346757
8,0.28159548154061664,-1.0110506412187248,-0.2799936411258356,-0.12505412579253766
9,0.21122195795991738,-0.2605911967809847,-0.277624306602216,-0.11988275792354844
10,0.08467981085531212,1.4626307635778333,-0.08205468122305717,-0.11407921528312526
11,0.0223523646015769,0.15808309866871129,-0.056925996035307985,-0.11535951408531761
12,0.02648496253630126,2.3368484493321895,0.17861415655569,-0.11786833565858
13,-0.20601811492758218,-0.9932108570847399,0.069293344292513,-0.13140570701241996
14,-0.22789728132083675,0.3523871354034708,0.09450960741284027,-0.1410711608168118
15,-0.35248837604614325,-0.5479942038792456,0.03953632528837837,-0.1529536236944214
16,-0.42571511151648844,0.14010273531160466,0.04784452920448637,-0.16306124854160906
17,-0.4801410098022194,-0.48735236946097593,0.004960665038143353,-0.17453092831425562
18,-0.5117710254391349,-1.072969135848294,-0.07913743793029136,-0.1845951641443613
19,-0.4706079718017216,-1.3382247361234243,-0.1751073710231788,-0.19066811404257775
20,-0.36635663485745384,2.699680104191443,0.03959999819840923,-0.19158532238639822
21,-0.37921010115185727,-0.4565551608760733,0.003197199704031456,-0.2054924059292008
22,-0.24256375409688868,-2.2592244443301337,-0.1602355080775491,-0.21827151490976032
23,-0.30908322144555006,-0.9576838293488847,-0.21706383703572485,-0.22188103205815546
24,-0.2739322144362481,0.40410751268774897,-0.17332048466747427,-0.22218473493574475
25,-0.18358519627106723,-0.6835936294558154,-0.20888276075158835,-0.22530224316649686
26,-0.17418396649497978,1.1862622359902777,-0.1125312146330959,-0.2263607401913103
27,-0.24853389143036062,0.7538643814135971,-0.05316994243811176,-0.23376586869282379
28,-0.3407064290562026,-0.49304506488043837,-0.08309926714180121,-0.2456082216614132
29,-0.3864790116229365,-0.8586949543989799,-0.1355512669951019,-0.25633889056132486
30,-0.3644594992759316,-1.369260506303628,-0.21854202540539433,-0.26436329457712227
31,-0.46542131762980515,-1.1653878599431298,-0.28194009282802024,-0.2674236172062383
32,-0.4863388751169765,-1.9594819497826017,-0.3938074079140891,-0.2664495667407654
33,-0.5022613761084243,0.7021349154246601,-0.3209838030140113,-0.2578690616200452
34,-0.44817681763984346,1.1425239694862184,-0.224038251382976,-0.25360166166694614
35,-0.42671090538920936,-1.6828489751169422,-0.32040997904710733,-0.25560677393084036
36,-0.39117363448521725,-1.5728566101716805,-0.4029521704222496,-0.2511995734746008
37,-0.4565564954270512,-2.225068352513968,-0.5227885119589815,-0.24085443324820593
38,-0.4695178587963281,-1.4333720895285023,-0.5825665136713463,-0.22159461817307102
39,-0.3911203117901952,-3.497457113073487,-0.7736187467118147,-0.1968905301587766
40,-0.2417771972681191,-1.3840561539000387,-0.8135732760482551,-0.15735765900894727
41,-0.36768375047853114,0.9292316493219928,-0.6996415839718966,-0.11231347775630429
42,-0.21629137300462487,-0.5619639024690899,-0.6906508208319584,-0.07194874969065856
43,-0.08170383062639441,0.7728804042270139,-0.5951668912020032,-0.029382481904138502
44,-0.0035726905563516625,-0.4925417543983966,-0.5884768610207186,0.009579379772924668
45,0.022872872476578692,1.7835401694697017,-0.43395762204390786,0.05079717091523139
46,-0.008519408977064085,0.19069857403679294,-0.39329128406640307,0.08423009557788941
47,0.1372826593766318,-0.24471963276684872,-0.38362425160496,0.11718467873820976
48,0.3333084910216283,2.8857325163927094,-0.17100016854677502,0.1517652253252047
49,0.5134719780082408,0.18900012172280167,-0.14759715010008326,0.17406260566166937
50,0.6449823544816778,-0.5762409952444584,-0.17545241022253916,0.19629287473687326
51,0.6807203955475735,0.8826303975076834,-0.10671522341254468,0.2219939834194674
52,0.5598885323193563,0.5210534937612766,-0.06594429398794643,0.2447269853028644
53,0.559443119007348,1.625767672173605,0.04389845792020214,0.2662185076506749
54,0.6250906125149815,-0.2965433119828297,0.021798311267004912,0.2816018485040813
55,0.4962544661400261,1.3009713976195236,0.10482172471302503,0.29958267951269274
56,0.5357666721582269,1.3885151427325182,0.18812492911412798,0.3130644720192345
57,0.5787530416404499,-0.08893425029462054,0.17014818863689735,0.3217144805370741
58,0.6483573140367368,0.8116013197594145,0.21176311417430055,0.3322094513731737
59,0.5299455173610179,-0.30080643949331953,0.17851327218986693,0.34055061077276505
60,0.4637752601571144,2.8095833339977823,0.3491716949326083,0.35177325865984016
61,0.42013173544279225,-0.2840078268373747,0.30810536321178117,0.35195345923372284
62,0.30315154466550587,-0.14992289900320832,0.27840104343009214,0.3549909062096509
63,0.4770883323785193,-0.5887496895848554,0.22216766275524774,0.3602968295612402
64,0.42749725953430406,0.08137598436113064,0.21303805064008594,0.36986662842159873
65,0.46039422248032424,0.45451819578342,0.22869602412134568,0.38073255783710136
66,0.43453696793293184,1.2023261032776182,0.29182511767287933,0.3912669831922748
67,0.5928842558131441,-0.017602390252555278,0.27176293113980954,0.3981574827244999
68,0.724920354521328,0.5391463958497422,0.2890985639595361,0.40691590791068644
69,0.7882556168038195,-0.6282337496102226,0.22962562037573359,0.4150802480571394
70,0.5679046287391545,-0.2594975980270007,0.19791533379960324,0.4279319885710816
71,0.5731075261651432,3.3289150844410944,0.4008963526787076,0.4438722122301242
72,0.6414761452427966,1.6827193369375923,0.4839946543079666,0.446850517377904
73,0.7418723028270136,-0.03955173885030139,0.4500546412985563,0.44427631199489
74,0.6800815983562535,-0.6573156431720378,0.3782680473443625,0.443875848925699
75,0.8622827346890858,-0.11330009591057233,0.3464019660823414,0.44842281818874496
76,0.7302396376877565,0.7085487781740214,0.3698780005781476,0.455493495750408
77,0.6640868355062346,0.6988146238654249,0.3912009881972082,0.46142724672383423
78,0.7575918343176368,0.013231233386780672,0.36669968644100154,0.4662944638624431
79,0.7624972957001679,-0.5240771710374763,0.30895689342660143,0.4731972031523657
80,0.9627365540646934,2.3851150593131396,0.4435387316597884,0.48458049602300957
81,0.9815884733159399,1.4332739246110358,0.5076955101279167,0.4874250685943859
82,0.9182690642967173,0.543701044728782,0.5100294551714849,0.48602013211556794
