x,pdf_k1,cdf_k1,pdf_k2,cdf_k2,pdf_k3,cdf_k3,pdf_k5,cdf_k5,pdf_k10,cdf_k10
0.01,3.9695254747701174,0.07965567455405799,0.49750623959634116,0.004987520807317688,0.03969525474770119,0.0002651650586556101,0.00013231751582567066,5.300270042686517e-07,1.2955891656154776e-11,2.593339189839545e-14
0.019999999999999997,2.792879016972343,0.11246291601828487,0.49502491687458405,0.009950166250831942,0.05585758033944683,0.0007477553393911971,0.00037238386892964563,2.9876015319065897e-06,2.0626038203107642e-10,8.264185641806456e-13
0.03,2.2690027447147854,0.1375097698640784,0.4925559698015313,0.01488806039693734,0.06807008234144357,0.0013696051811913172,0.0006807008234144354,8.203534362447038e-06,1.0389852488001057e-09,6.249529730208988e-12
0.039999999999999994,1.9552134698772798,0.15851941887820603,0.4900993366533776,0.019801326693244692,0.07820853879509117,0.0021023412880236936,0.0010427805172678816,1.6780253487930203e-05,3.267328911022521e-09,2.6226009622220462e-11
0.049999999999999996,1.7400739347725864,0.17693672624187864,0.4876549560141663,0.02469008797166733,0.0870036967386293,0.002929332764619924,0.0014500616123104867,2.9209539998950114e-05,7.937092383043059e-09,7.970282082925825e-11
0.05999999999999999,1.5805404178559017,0.19350405949265992,0.4852227667742541,0.029554466451491814,0.09483242507135407,0.003839209349951741,0.001896648501427079,4.5912347097578534e-05,1.6376268378631083e-08,1.9750202353092854e-10
0.06999999999999999,1.4559978676709573,0.2086632198993396,0.48280270812878323,0.03439458374243352,0.101919850736967,0.004823518425405577,0.0023781298505292283,6.725872434711964e-05,3.018774224523982e-08,4.2510610451773986e-10
0.07999999999999999,1.3551684838810791,0.22270258921047842,0.4803947195761616,0.039210560847676774,0.1084134787104863,0.005875631789505825,0.0028910260989462987,9.357959161322665e-05,5.124210342145733e-08,8.253708692536276e-10
0.08999999999999998,1.2712927182017473,0.2358228443779052,0.4779987409165499,0.04400251816690008,0.1144163446381572,0.006990155101590817,0.0034324903391447156,0.00012517442330138974,8.167056612378871e-08,1.4811669957324479e-09
0.09999999999999998,1.2000389484301361,0.2481703659541507,0.47561471225035706,0.04877057549928597,0.12000389484301362,0.00816257626812351,0.004000129828100452,0.0001623166119226149,1.2385799798186358e-07,2.4979513360065075e-09
0.10999999999999997,1.1384855603463924,0.2598558641954251,0.47324257397674196,0.053514852046516126,0.1252334116381031,0.009389040919218954,0.004591891760063777,0.00020525739909139687,1.8043605535399664e-07,4.006269038520262e-09
0.11999999999999998,1.0845804551098632,0.2709655104611961,0.4708822667921244,0.05823546641575128,0.1301496546131836,0.010666201234828808,0.005205986184527345,0.0002542288657741236,2.5427642406774704e-07,6.164187551765596e-09
0.12999999999999998,1.0368340433091174,0.2815679610896611,0.46853373168870177,0.06293253662259657,0.13478842563018528,0.011991109829290518,0.005840831777308029,0.00030944627467446444,3.4848416434273475e-07,9.15966355728422e-09
0.13999999999999999,0.9941351606919725,0.29171898770939725,0.46619690995297414,0.06760618009405177,0.1391789224968761,0.013361142715645084,0.0064950163831875496,0.00037110994926998673,4.6639115866545397e-07,1.3212843867678459e-08
0.15,0.9556356663033966,0.3014646416966614,0.4638717431642765,0.07225651367144709,0.1433453499455095,0.014773941805642343,0.007167267497275473,0.0004394068110914006,6.115496613982153e-07,1.8578301313050383e-08
0.15999999999999998,0.9206753507583084,0.3108434832206483,0.46155817319331793,0.0768836536133642,0.14730805612132936,0.016227370977989684,0.00785642965980423,0.0005145116583812261,7.877259489165954e-07,2.5547206627172506e-08
0.16999999999999998,0.8887315014175833,0.3198881923207119,0.4592561422007287,0.08148771559854265,0.15108435524098915,0.017719481838733623,0.008561446796989385,0.0005965882447548562,9.98894069081954e-07,3.444943733269816e-08
0.18,0.859384091349136,0.32862675945912734,0.4569655926356141,0.08606881472877174,0.1546891364428445,0.019248486573438504,0.009281348186570667,0.000685790200297177,1.2492296888676092e-06,4.5655624612844287e-08
0.18999999999999997,0.8322911747006729,0.33708338248389325,0.4546864672341157,0.09062706553176852,0.1581353231931278,0.020812736097637674,0.010015237135564757,0.0007822618265081512,1.5431040389691954e-06,5.957913914522692e-08
0.19999999999999998,0.8071711293576811,0.345279153981423,0.4524187090179798,0.0951625819640404,0.16143422587153622,0.022410702238350604,0.010762281724769078,0.0008861387888124423,1.8850779542415819e-06,7.6678016861893e-08
0.20999999999999996,0.7837896022912444,0.3532325959945318,0.4501622612931328,0.09967547741373436,0.16459581648116128,0.024040963032209286,0.011521707153681282,0.0009975487248466937,2.279896008816399e-06,9.745682558807356e-08
0.21999999999999997,0.7619497526379121,0.36096008162852505,0.4479170676482641,0.1041658647034717,0.1676289455803406,0.025702190467843906,0.012292789342558305,0.0011166117827272832,2.732480744765925e-06,1.2246847350078584e-07
0.22999999999999998,0.7414848507380214,0.36847617150937567,0.44568307195341567,0.10863385609316865,0.1705415156697449,0.02739314016988591,0.013074849534680445,0.0012434411005250155,3.2479269931905145e-06,1.5231596033712143e-07
0.23999999999999996,0.7222525887300633,0.3757938852335942,0.4434602183585788,0.11307956328284248,0.17334062129521516,0.029112642643163742,0.013867249703617211,0.0013781432359293085,3.831496286618118e-06,1.87654072270892e-07
0.24999999999999997,0.7041306535285992,0.38292492254802607,0.4412484512922977,0.11750309741540454,0.17603266338214973,0.03085959578372673,0.014669388615179144,0.0015208185533684385,4.488611361615981e-06,2.291910213652409e-07
0.25999999999999995,0.6870132437965479,0.3898798452024923,0.43904771546028065,0.12190456907943865,0.17862344338710243,0.032632958428287534,0.01548069842688221,0.001671561574523103,5.224850750525446e-06,2.776900304978949e-07
0.26999999999999996,0.6708083017516222,0.3966682277081336,0.4368579558440172,0.12628408831196555,0.18111824147293798,0.03443174476225758,0.016300641732564413,0.0018304612971287311,6.045943461242188e-06,3.339708646448761e-07
0.27999999999999997,0.6554352925487376,0.4032987832706437,0.43467911769940293,0.13064176460119417,0.1835218819136465,0.03625501944335072,0.017128708978606997,0.0019976014861367132,6.957763743975101e-06,3.989113093978042e-07
