subgroup,xbar,shifted
1,99.55317361542336,False
2,99.99610830819549,False
3,99.14746860136837,False
4,100.24421895143678,False
5,100.57084729150614,False
6,101.18589910428332,False
7,100.1504902045317,False
8,98.49399370520828,False
9,99.79277687304833,False
10,101.36228307869729,False
11,99.92813807799996,False
12,99.25357763187964,False
13,98.47258018948847,False
14,99.31817650932085,False
15,100.18909978023399,False
16,99.29818827272064,False
17,101.87011032492569,False
18,99.06800132926831,False
19,99.45330318948174,False
20,100.18073799375523,False
21,102.90220088305857,True
22,104.33659694418486,True
23,103.00278433817762,True
24,102.67724249699697,True
25,103.38097299237094,True
26,104.29102363367808,True
27,103.31592381269255,True
28,102.87327877559878,True
29,103.4847273253225,True
30,102.55151727865614,True
31,102.4411480346394,True
32,102.07970637145611,True
33,103.70045832682699,True
34,103.04559566295957,True
35,104.89003704199831,True
36,103.79397155973118,True
37,104.18086086108994,True
38,103.8502912177441,True
39,102.22746512136193,True
40,103.310426114009,True
